Molecular_Weight,LogP,H_Bond_Donors,H_Bond_Acceptors,TPSA,Rotatable_Bonds,Human_Oral_Bioavailability
318.5430534813131,5.357861201766576,4,2,113.62392517207552,8,0
577.8214378844623,0.6769332346688071,3,9,136.17933505149568,1,0
479.3972738151323,0.014264104638561648,2,4,141.13299232679293,10,1
419.3963178886665,2.426169321942941,3,4,80.45608788412582,7,1
220.20838819909642,5.899553178774205,4,2,58.57357317274109,9,1
220.1975341512912,0.6943869005805028,1,8,52.80725256104398,2,1
176.13762547568976,3.7049488318411496,3,3,60.23079032188775,11,1
539.7792655987208,4.331337307301023,1,4,63.95708752414541,4,0
420.50175528444396,0.6634628079467977,2,3,53.15642384128903,5,1
468.63266000822045,4.0975144402830175,0,4,160.51530679667076,9,1
159.2630224331111,1.5744819290347727,2,6,141.1198611475566,5,1
586.4594334728974,3.4261408141550564,3,8,27.503434846595187,3,0
524.5991883601898,3.434707975326263,1,6,62.987597124049174,2,1
245.55259980522428,2.7504227885233092,1,4,23.54955872484826,3,1
231.82123524319528,-0.3679716096191419,4,9,99.70642986334286,0,1
232.53202943404523,4.847117469124666,1,9,96.19371148624226,3,1
286.90900933179194,1.245460454802151,4,6,153.0194384100002,0,1
386.140394234507,0.3056295727989795,0,9,69.24435836336791,11,1
344.3752583889521,-0.7145740091166526,3,4,150.62171763408998,0,0
281.0531130891188,3.136250602317693,4,2,174.8758024703717,9,1
425.33380262507075,3.7429505328959767,0,6,34.145315738503456,5,1
212.7722372934188,-0.8838851975050069,1,1,146.69085431514128,4,1
281.4650918408482,2.5846514080949667,1,8,114.39294354202177,10,1
314.86282948216126,0.5854704263855657,0,9,96.80735472295602,3,1
355.23149289766616,3.5162095328661493,1,9,87.28572458641202,10,1
503.3291826268561,0.22056500303493998,0,0,145.54692223108952,2,1
239.85320197126188,3.8365641667172614,4,5,122.29781711587877,0,0
381.4054972861252,1.7071474241037619,4,6,148.8071468030979,5,1
416.5865559879191,5.557109921157141,0,7,164.5041693882602,1,1
170.90268572399899,-0.03735339097804724,4,9,118.76219393556673,7,0
423.39518335564725,1.3874644573518093,4,8,176.87403601478047,9,1
226.73585565928119,-0.2056853513158765,4,1,117.29405592670163,4,1
179.2732168433758,5.472855327949939,2,9,121.86309145956521,6,1
576.9984917639999,5.1413754736668675,3,1,108.7704973667561,9,1
584.5344148835518,0.8055913940060893,1,4,34.560334568212845,11,0
513.7788066524075,3.6198883222392535,2,4,136.2235252240365,1,0
287.0761961280168,4.720555401408511,4,5,107.59140910385784,7,0
193.95245130287273,2.886405681196236,0,2,92.14567158657671,1,1
457.9048619304706,2.7075540484920455,4,7,165.67540454452367,3,0
348.0686221828206,0.6929660363031618,3,0,67.67351224671208,0,0
204.91720568015046,-0.3482806253587055,4,5,103.77636416240179,4,0
372.8296095500716,5.280510305673287,0,3,131.62269943895413,8,1
165.47483450184828,5.302926400143313,3,0,147.43548410782037,0,1
559.1941809354519,3.4317102009128755,4,6,93.49548927138758,8,0
266.4509917200076,1.3732085373409046,3,8,154.73462640299354,10,0
448.1350279592919,1.4444670222886264,1,3,143.02683861046359,7,1
290.2699842402349,4.081689752091676,1,3,30.597756456298537,5,1
384.0306095300149,5.279771819668039,4,5,27.337802624741272,6,0
396.01962570447586,5.209604969855821,3,2,119.3289095075346,2,1
233.18450498648718,4.459128821003367,0,5,75.58614531606628,0,0
586.3130824940513,3.4942215230800144,4,6,53.46092657256227,4,0
498.80977051250153,-0.41102024503465817,1,9,112.74398951547815,11,1
572.774523703885,0.13140099866229638,1,9,74.6501136730472,11,1
552.672307692442,5.289879319689555,4,2,105.96214667425122,1,1
419.0549904649883,3.24500341761713,3,6,93.61906543737152,4,0
564.8434057604026,-0.9356206386835925,1,2,113.56257695186459,7,1
189.82162592336377,-0.28969919993777526,3,1,84.04807822564501,10,1
238.19228808861533,3.644512383756391,1,9,131.62681179150908,8,0
170.35228000974212,-0.9645689130764692,1,3,48.81076357588776,1,1
296.39864884346895,0.1256563599224907,2,7,131.44023459633263,11,0
324.9047803602669,2.8411365255661027,1,8,85.8657942972045,2,1
272.10706429825314,3.843266383848853,0,6,159.89081677670674,2,0
522.9318791183682,3.5637288165182035,4,0,102.43776877827374,0,1
310.53899701211515,0.5698851662239184,4,2,175.6976558832167,7,0
276.42052935932134,3.985254549432751,3,8,116.30966328655363,5,1
394.21323742121183,0.6607436124776005,1,0,55.815850545011294,11,1
213.4159012386432,1.277797887114874,0,8,151.48650189511187,7,1
510.98864133931784,4.225439835826169,3,7,75.21322045158188,10,0
183.54778965589688,3.5474302933305024,2,0,75.61907431722936,8,1
594.0991214702328,4.944563873459246,3,5,25.08874903762642,4,0
497.51014618349586,3.6032902461024037,3,4,107.79444947318538,11,1
239.4220566903776,2.9781602233483015,1,5,105.50776059720368,2,0
152.48495270562108,-0.34427662520335267,2,9,76.95863748351778,4,0
516.9576428046753,1.5740106214160345,3,4,163.07476206334812,4,0
468.0858047314277,0.8564165737720781,0,5,40.59974372794302,4,1
478.0532256184443,0.707927503653585,0,4,72.81592212962487,2,1
497.0716560086756,5.811073883267119,4,4,71.45324234880464,10,0
183.32009328034067,1.7516840726673228,2,3,34.76649379659938,9,1
311.30957784492267,5.244325886239793,2,2,96.98326304900691,3,1
202.14107678630836,3.4179703819808402,4,2,130.0455547353733,8,1
